customer_id,id,full_name,starts,title,review,rating,rating_average,thank_count
873790,4065607,,,"Sản phẩm ban đầu xài ổn, nhưng qua 01 tháng bị hư adapter,","Sau 01 tháng sử dụng thì hư cục adapter, đưa Tiki bảo hành thay cục sạc - đã chuyển tiền thay thế cục sạc mới, nhưng hơn 01 tháng bảo hành rồi vẫn chưa nhận được lại sản phẩm, thất vọng",2,,1
12731137,4065607,,,Cực kì hài lòng,,5,,0
8825746,4065607,,,Cực kì hài lòng,Rat hai long,5,,0
5790806,4065607,,,Cực kì hài lòng,Rất vừa ý. Dịch vụ phản hồi tin nhắn và xuất hoá đơn nhanh.,5,,0
7595504,11110653,,,Cực kì hài lòng,,5,,0
7180976,11110653,,,Cực kì hài lòng,,5,,0
11075397,11110653,,,TUYỆT VỜI,Tính năng cao cấp thật nhiều; làm tổng đài điện thoại nhỏ rất dễ thương,5,,1
12576510,11110653,,,Cực kì hài lòng,Hàng dùng tốt,5,,0
16981891,11110653,,,Cực kì hài lòng,,5,,0
50640,11110653,,,Cực kì hài lòng,,5,,0
13204182,11110653,,,Cực kì hài lòng,Điện thoại rất thích,5,,0
12576510,11110653,,,Cực kì hài lòng,Hàng dùng tốt,5,,0
11075397,11110653,,,TUYỆT VỜI,Tính năng cao cấp thật nhiều; làm tổng đài điện thoại nhỏ rất dễ thương,5,,1
50640,11110653,,,Cực kì hài lòng,,5,,0
13204182,11110653,,,Cực kì hài lòng,Điện thoại rất thích,5,,0
9032863,11110653,,,Cực kì hài lòng,"Hàng chính hãng, giao nhanh",5,,0
7595504,11110653,,,Cực kì hài lòng,,5,,0
7180976,11110653,,,Cực kì hài lòng,,5,,0
14455910,11110653,,,Điện thoại bàn không dây Panasonic KX-TGF320,"Điện thoại bàn không dây Panasonic KX-TGF320 - Hàng Chính Hãng. Hàng giao nhanh, đảm bảo chất lượng cam kết, đã mua 2 con, nếu có nhu cầu sẽ mua tiếp ủng hộ shop",5,,2
16981891,11110653,,,Cực kì hài lòng,,5,,0
14455910,11110653,,,Điện thoại bàn không dây Panasonic KX-TGF320,"Điện thoại bàn không dây Panasonic KX-TGF320 - Hàng Chính Hãng. Hàng giao nhanh, đảm bảo chất lượng cam kết, đã mua 2 con, nếu có nhu cầu sẽ mua tiếp ủng hộ shop",5,,2
9032863,11110653,,,Cực kì hài lòng,"Hàng chính hãng, giao nhanh",5,,0
17520600,11251711,,,Cực kì hài lòng,,5,,0
6619811,11251711,,,Cực kì hài lòng,Sản phẩm tốt. Sóng khoẻ.,5,,0
56503,11251711,,,Cực kì hài lòng,,5,,0
1333024,11251711,,,Cực kì hài lòng,Hàng ok sễ sử dụng,5,,0
27669187,11251711,,,Hài lòng,Rất tối. Máy dùng tốt như quảng cáo,4,,0
11093775,11251711,,,Cực kì hài lòng,"máy tốt, nghe rõ . đẹp. đã xài qua bộ thứ 2 của mẫu này",5,,0
17949935,11251711,,,Cực kì hài lòng,,5,,0
17520600,11251711,,,Cực kì hài lòng,,5,,0
17949935,11251711,,,Cực kì hài lòng,,5,,0
56503,11251711,,,Cực kì hài lòng,,5,,0
1333024,11251711,,,Cực kì hài lòng,Hàng ok sễ sử dụng,5,,0
11093775,11251711,,,Cực kì hài lòng,"máy tốt, nghe rõ . đẹp. đã xài qua bộ thứ 2 của mẫu này",5,,0
6619811,11251711,,,Cực kì hài lòng,Sản phẩm tốt. Sóng khoẻ.,5,,0
27669187,11251711,,,Hài lòng,Rất tối. Máy dùng tốt như quảng cáo,4,,0
6320885,11251951,,,Cực kì hài lòng,"Sản phẩm đúng như hình, chưa biết tốt xấu ra sao, xài được ngay
Sản phẩm đúng như hình, chưa biết tốt xấu ra sao, xài được ngay
Sản phẩm đúng như hình, chưa biết tốt xấu ra sao, xài được ngay
Sản phẩm đúng như hình, chưa biết tốt xấu ra sao, xài được ngay",5,,1
14963236,11251951,,,Cực kì hài lòng,,5,,0
11066480,11251951,,,Hài lòng,,4,,0
23132884,11251951,,,Cực kì hài lòng,,5,,0
336249,11251951,,,Rất không hài lòng,Nhà bán ko xuất hóa đơn. Hỏi chẳng thèm trả lời,1,,0
14663577,11251951,,,Cực kì hài lòng,hàng ok!,5,,0
20363419,11251951,,,Cực kì hài lòng,"sản phẩm mới như cam kết, chất lượng tốt, sóng giữa 2 phòng liền nhau rất ok.",5,,0
8091650,11251951,,,Cực kì hài lòng,,5,,0
